Gene,1,2,3,4,5,6,7,8,9,10,11,12
S100A6,0.00681817269633448,0.00813722274346171,0.00431347380108212,0.00993092889729989,0.00320229064237128,0.00513439251729226,0.00680019030576169,3.92910592019666e-06,0.000389234999923994,0.00103660705458721,0.00587793026823164,0.00714122521267046
S100A4,5.06381863300157e-112,1.55800424066546e-92,3.22298408715108e-116,0.0021314541179647,8.63493463499528e-269,1.73715300223936e-73,1.27428148527799e-37,4.28410873591159e-24,1.98744685842944e-66,1.13923213484915e-289,0.000568899739662016,0.00987988995867781
S100A16,0.00367119589804081,0.00336541666014098,0.000733921081757606,0.00280450115645976,0.000730592357640233,0.00048199263745685,0.00185769794355127,9.95399445504335e-05,3.7898192399127e-05,0.000459083792684566,0.000238378985487008,0.0050421514101279
S100A13,0.00354472169242185,0.00355307823532219,0.00425913389539656,0.00523655072046429,0.000618868021353665,0.00052169117417722,0.00286141600422432,0.00231809232696426,3.52723423751303e-98,0.0019504402230549,0.00245212350011397,1.28127287215485e-07
S100A1,4.94065645841247e-324,4.05899800065838e-183,1.43204362263522e-104,1.24155119935988e-92,6.87673251477799e-280,1.11933666541752e-135,1.19588531831737e-176,4.94065645841247e-324,0,0.00636277349830651,0.0031859059906511,3.43917173271088e-230
CRABP2,1.67621350343948e-154,5.52679219426793e-148,2.11427499315519e-84,3.62433758807379e-113,3.5637917146199e-297,8.93493177899193e-203,8.35956249780803e-222,0.010108585770831,1.30118387305686e-05,0.00164937993200737,0.0050637397046901,3.19714238467666e-21
DUSP23,0.00171874369361215,0.00153891602696163,0.00146038689224509,0.00393040627414359,0.00317982578016699,0.000366518552393675,0.00428695984127641,0.000995420029828665,7.05080009425608e-53,3.40170857601748e-75,0.000408249465070109,0.00141123924634657
TAGLN2,0.00395165764929094,0.00444309950983447,0.00251391862291506,0.00487865244594914,0.0015468728269133,0.00052326332166478,0.00239184847118482,0.00167269425970205,7.29907989335035e-26,6.51343559801395e-99,0.0045376560654172,0.00718418960113478
RGS4,0.0050906079091545,0.00116072941099343,3.29497853047485e-205,5.33050045219e-74,4.58709610545218e-249,2.76713342685942e-75,2.39213021458085e-71,7.10939939117019e-05,2.65092531337711e-59,0,8.31070695705893e-05,1.14422197046737e-18
PRRX1,0.00145723423619085,0.00234674961369672,0.0053155360556759,0.00396106124114831,5.3287682175918e-11,7.98871361035504e-17,0.000339682303093735,4.27438891536554e-19,6.84206089048744e-06,3.95423783226813e-291,7.14054289260221e-05,0.00206790870195197
LAMC1,0.00279189723300346,0.000493733043164188,0.0043552328084262,0.00351087717138731,0.0039094664566656,0.00371589784519285,0.00248502306209834,0.000531173530936952,0.000273435015090812,2.15914483260453e-110,3.53426602046488e-42,0.00219285276354558
CSRP1,0.00337271366359128,0.0035434061787237,0.00149499275543313,8.47973613922426e-31,0.00180082479428483,1.31827175631979e-15,0.00272842352840111,0.000737032834576018,0.000160227367809605,0.000223429411087102,1.7795877615916e-27,0.00300823849534519
CHI3L1,8.70295162045429e-290,1.12978329197469e-213,0.00304807395373409,0.000754151689112757,2.49804681588355e-76,0.000336359613287116,1.00846185714992e-104,1.9317372781191e-158,2.71868047042988e-13,0.000197381246419258,0.00331180302191641,0
FMOD,2.00439295537112e-300,6.44705181840061e-240,0.000107759820139632,8.08102825150305e-99,8.49779157165048e-173,9.46349522394828e-98,7.73229584022605e-107,3.91407295815013e-242,1.31837488616786e-172,0.00528606687471846,0.00448690331106371,1.59028041123591e-213
PRELP,8.78964438218472e-83,2.46339488245469e-183,0.000231453529918728,2.28871272101643e-18,4.98308484478178e-154,3.03718605442599e-05,0.000311990539505969,2.96982438820007e-106,6.62527363032738e-91,0.00801874339481746,0.00407373048811159,1.10540165827983e-67
G0S2,4.18480472805816e-191,1.47022271180151e-240,3.74798638133076e-40,5.32530714824737e-30,0.000424834863280931,0.0136768779702072,2.60242290911959e-156,2.67155071325886e-149,0.000165018119939141,7.32805728271149e-35,0.000801133684579789,5.13483413686569e-201
ENAH,0.00285584668128683,0.00258020091756875,0.00375060168905317,0.00106411059787529,0.00490485991223843,0.00224479278085507,0.0032755147497063,0.00257823485645812,0.000516388057789703,2.45289135150408e-38,4.05229742633457e-74,0.00072981385084522
EPHX1,8.66068045111986e-88,0.00199775163141506,0.00552771988560185,0.00302665339410401,0.00264914418203077,0.00542975202556617,0.000457129446106379,0.000561476827901167,0.00107967118584923,7.37877309605399e-66,3.38935153152478e-155,1.1693732158633e-44
ID2,0.000308645184823585,0.00141472585368311,0.00341087669375466,3.4118381487725e-06,0.00164169580393013,0.000400241550116024,4.14044656082399e-05,0.00725238845977562,0.0032628667936217,0.00237749746736171,0.00283285314415096,4.5755847228989e-06
CRIM1,0.00486279353350838,0.00117757188309371,3.1055342616404e-17,3.23628865970477e-27,0.0025322607440392,0.000546024966119557,0.00376307827581655,4.2246411544576e-69,1.32860744935987e-61,0.000125368860672603,2.38911202483518e-94,0.000794203137700132
CDC42EP3,0.00306008939260584,0.0020724282042727,2.65936296041241e-13,0.000689409526787019,0.00277271968200289,4.81142020264342e-08,0.00265055233848524,0.000164741926383692,0.000771305410359617,0.00173509456256272,0.00227558508036937,1.52038025946729e-13
CYP1B1,0.00199118789751362,3.23604976843746e-37,0.00739446880569095,0.00481250573778564,0.00674306020602686,0.00203837023704517,0.00350917313097598,1.41517032165371e-63,0.000952054276949803,6.31613047333259e-190,0.000680863228601211,0.00162359222624926
ZFP36L2,0.000817044558422937,0.00050494590249322,0.000367706728845367,0.00499583932988061,0.00222837219317208,0.00156279786867856,0.00448283523206513,0.00222136995023792,0.00634428736988069,0.000274530918559617,0.00167196817219529,5.69599908586101e-05
MCFD2,0.00422332023407484,0.00269277057254188,0.00176957567639425,0.00361939578365199,0.00258388350363447,0.00170543012272144,0.00222450326149801,0.00119485150053407,0.000372679351311667,0.00115142391611029,0.00144257950879369,0.000443393133907392
EFEMP1,0.000575218820697873,0.00140961177825271,0.00484673715214304,3.17797993437908e-06,0.00379025294363455,0.000551180791166551,0.00574386995580003,0.000461077201269355,1.19983123995041e-25,1.1193514956535e-13,1.19755022788697e-05,0.00338613981858621
MTHFD2,0.000543283877277629,2.00267112622337e-23,1.08878894825491e-07,0.000552574788919083,0.0022629380596919,0.00275357919593478,0.000835665154730324,0.000827568834214124,0.00101007827065669,0.00277192262440804,0.00658144463120864,0.00164799934333267
TMSB10,0.00806284244305701,0.00800870580400361,0.0051126492266927,0.00625616815881397,0.0065696904433064,0.00725017608029515,0.00580443224822353,0.0120958209634333,0.00415479748041245,0.00148867010184573,0.00782103298341531,0.00704236853984143
CYTOR,0.00483990650347093,0.00183344592455773,0.00142953413329624,1.44070485168069e-14,0.00191976241302164,0.000537201294616062,0.0021533569270928,3.49568662476218e-255,5.49169851636744e-80,0,4.94065645841247e-324,3.19497392720149e-17
